tweet_id,label
00BHHHP1,0.11730826
00UNMD0E,0.5979509
01AXPTJF,0.17621723
01HOEQJW,0.59059083
01JUKMAO,0.14708316
01V1X8XW,0.22235611
01VCVYR0,0.20269704
01VO7KBO,-0.09170997
020SYHIL,0.1931369
02CQIJUI,0.132357
02OLGGYV,0.24522871
02VDQ7JT,0.37971622
03VDEOFZ,0.22465503
03W32GF1,0.10791868
0415LSAN,0.47971353
047IZEE1,0.6122265
04BA7VQ9,0.580496
04Q6QMSI,0.8520571
04UJ9Q31,0.7081337
04W0XJEJ,0.038183868
05277SI4,0.15895644
05OKQQBU,0.5032405
05PUPGUS,0.15147525
0749FDXA,0.3761189
078BED1W,0.60188335
07B3FVUX,0.16230687
07SO3YBG,0.54157525
07VBSV9R,0.6704105
07VRJ7KY,0.5726033
07ZUS2DD,0.17476171
08DJ5XND,0.2337268
08HY52OR,0.10999873
08ZVZMNA,0.5487262
09D4JMNJ,0.1903081
09DSYIQ7,0.041646957
09O38XEV,0.12591887
0A21KQ6M,0.09485796
0A5K6EBZ,0.3648031
0AKC7N18,0.8235234
0AVGJKYZ,0.096657306
0BJTMHMU,0.10440245
0BLHVV1M,0.06778464
0C4IZ2NQ,0.26493132
0C5GV66O,0.81947243
0CBOHX9M,0.6456808
0CCJ1SMQ,0.42584547
0CGQFX6F,0.09645045
0CQ3QSYS,0.7481219
0CXVNB4Q,0.64004964
0D33P1WR,0.6181159
0D3W2EG9,-0.28913826
0D7OGTTQ,0.606534
0DCGQEQD,0.07287645
0DFIQMAV,0.14998606
0DOD5YV1,0.9902811
0DSEXSUT,0.4407625
0E5E5VOC,0.40341398
0EILVR8Z,0.14964491
0ELNXTUQ,0.12753001
0F36Y853,0.19697231
0FCA4MPB,0.17621723
0FKEWN0K,0.46753168
0FOBE3OZ,0.09485796
0FX9QJAS,0.15030009
0G18CCZX,0.21485072
0G3S14B8,-0.8320277
0G5WK2AZ,-0.2944532
0GB1F2Q5,-0.78005505
0GBJQZB7,0.21497256
0GG5Y3LI,0.19768104
0GOLHGV0,0.24206418
0H40XA1I,0.19178855
0HAAKCTM,0.42459083
0HZWVJSU,0.81006205
0HZZT3VB,0.57856107
0I1SE7QS,0.19468153
0I6TQSZE,0.50018114
0IBBENNY,0.6470922
0INHGQUR,-0.093518496
0IRU7WSZ,0.5917697
0J1KH6IR,0.0964953
0JFPL4WS,0.32156062
0JOKLM2W,0.31344432
0JRF3UU6,0.7550576
0JWZZYP6,-0.0067225695
0K600HFK,0.18955797
0KIQZZ55,0.43057173
0KTRZU3F,0.31553257
0L5FPE0M,0.08486849
0LJU7D73,0.22409737
0M5P9LC5,0.80424273
0M738I3J,-0.12043744
0MKZBCYV,0.87457556
0MQ7K6CC,0.68253136
0NEYSYJE,0.47527945
0NM97TFK,0.46544003
0NYFVKVR,0.36460185
0OGKWRB6,0.14409149
0P0F7Z28,0.15116885
0P1W9RZV,0.6356508
0PKQN5ZH,0.042173356
0Q269J05,0.22115701
0QAJE1TS,0.545782
0QP8BFOL,0.81590974
0QPJGR5L,0.08929002
0QY53C2D,0.085675955
0RBILGAY,0.21724689
0RLELG5C,0.16401741
0RPFLABS,0.45947284
0S7CQ4NM,0.29505622
0S94ZK8X,0.33931366
0SKCHVYQ,-0.025785685
0SPN656F,0.3927623
0SYVQUV3,0.6801219
0T9M01HO,0.23139575
0TD9MYE7,-0.6054367
0TVVGK0Y,-0.40334332
0U5K9354,0.80481684
0UAS9KZ8,0.07939458
0UU0K2M9,-0.17131895
0V0E36KX,0.014250159
0VJRIRF2,0.3259242
0VPWA7OP,0.16671136
0VZZVO8K,0.659081
0WJ49YKS,0.40225655
0WRP7CRH,0.809825
0WT10TDJ,0.8185435
0X5OKEGG,0.12272644
0X5XXYXV,0.43465286
0X7XSWH8,0.09651369
0X9NOJIT,0.17761669
0XA3P7K9,0.50193834
0XES42U3,0.094014555
0XG1BZYN,0.06778464
0XKCZLPF,0.112451464
0XLA0FDU,0.05572191
0XYD76FK,0.14914417
0Y09E8RV,0.46192193
0YDK8S9C,0.2722175
0YIZRXBP,0.09958908
0YJTCA8W,0.05853942
0YNM4HVC,0.038772315
0YTZPELQ,0.44951203
0Z2MDPDT,0.098787665
0Z2RHQDH,0.4112742
102U0YX3,0.11457184
107C2L0T,0.59950274
107DHDBX,0.47454998
10BYCU8A,0.2017802
10HEMN9C,0.12091997
10VK7LE1,0.015279859
10YYE0DC,0.79773444
10YZV5WC,0.17576629
10ZG51MZ,0.061757267
110TCSFM,0.65702474
11GUK2S1,0.4019691
11HBNHBZ,0.087649494
11IVYVX2,0.8969422
12L8FLPV,0.3925881
12NODYFQ,-0.7587279
12SDZ9RH,0.36143214
1389W54H,0.1740238
13BVQ17H,0.7982278
13IDRQ2L,0.1216414
13O16XLW,0.34201682
13P6K8QY,0.17280316
13UO9VDI,0.068828285
145PEZAA,0.075221896
146NWQHN,0.18617108
146W4L0B,0.2703019
14NPKO0I,0.1210891
14VKGQMD,-0.33371782
156RKJ4J,0.16113275
15LXW89U,0.35521117
15T435VZ,0.84046686
15ZDGMGZ,-0.10756379
16CSK3VX,0.70515573
16GABXU4,0.06778464
16M3GQBL,0.27117056
16QKOG7D,0.15169081
16UV84RZ,0.4904514
16X4WWOG,0.7065736
17CA2RAB,0.087649494
17U0TZP0,0.5761445
17V45OQY,0.14409149
17YJ5XC7,0.45584673
1810S3I5,0.17317778
18F24KHJ,0.35641807
18FGTXCX,0.47175705
18GHH8L1,0.12753001
18JWONSH,0.5022374
18KLKSIM,0.014250159
18LR28MW,0.061757267
18X8NIYZ,0.89993685
18YOVFEQ,0.5248035
195JQFF4,0.061757267
1960TJV9,0.5879898
19A3XHW0,0.048990786
19OCHYUN,0.19185248
19OQCFPQ,0.37024212
19R1ZAK4,0.38423416
19RFNUPU,0.96148324
19TXSZ4C,0.14409149
1A5329KK,0.09630886
1AEQBETN,0.36074787
1AGLX0FE,0.061757267
1AW8QSL4,0.1857718
1AYJQ9EZ,0.17621723
1AYVYRYQ,0.38676986
1BHJM0RW,0.73278636
1CDZ2D2P,0.23336512
1CQEHL9J,0.11655614
1CVJMZDF,0.4672389
1CW7IG3S,0.2559872
1D290KFF,0.03465426
1D89C1XQ,-0.6149788
1DAIX0MA,0.48089063
1DNX3VRF,0.40397722
1E9EBK5B,-1.0060743
1ENRJ53J,0.55529064
1EYYTF6R,0.40915078
1FDILM4A,0.1740238
1FELHUNC,0.80088955
1FQVXJOG,0.11428326
1FTFR0JD,0.075221896
1FUDDMOH,0.27026302
1FY7SVW4,0.3620473
1G3BKVPH,0.79411566
1GLR8XRG,0.06755689
1GNA8599,0.9668754
1GPSS9KB,-0.238765
1GUGJUDU,0.17719468
1GVYL74K,0.12127507
1H0CHYJV,0.2221958
1H6D8SIO,0.47683385
1H6UCU0F,0.7812562
1HLZCWBS,0.12453884
1HN5499Q,0.48321694
1HVDMB2S,0.52413464
1I5Y44LR,0.43447953
1IK7LJZZ,0.16114986
1J3NCJOO,0.16958293
1JBC356U,0.086991996
1JGHA5DB,0.81364405
1JGOLI11,0.68561566
1JO6NQRU,0.051681787
1JQ4RLYU,-0.8723738
1JV441U6,0.3351152
1JVVJ2L3,0.48829868
1K7KJ3EM,0.5894857
1KAPDGBL,0.098787665
1KIXM6E7,0.08403531
1KJKYS09,0.48955068
1L3TVUTI,0.7985041
1LI7YTGK,-0.69195795
1LIR621Y,0.8718111
1LJP0Q2T,0.61992455
1LLXXFMT,0.7356552
1LM2659Q,0.33847886
1LMPYA19,0.67874914
1LWISJYN,0.8444061
1M3MUGT7,-0.18026173
1M848CXN,0.6759242
1M8M8LWY,0.21664736
1MF8IRNZ,0.08308485
1MGE219Q,0.4377371
1MVXNBML,0.5484243
1MXZDT81,0.19751883
1N5ELR4B,0.057197243
1NL1IDBL,0.20389003
1NR57QVC,0.35326868
1O66DLEX,0.29567224
1OG5E44N,0.26173848
1OLF5CES,0.23066378
1OTCEUTB,0.24963874
1OV397YI,-0.21012098
1P5OSMZS,0.75462645
1PDXT443,0.43190438
1PHQGV1K,0.3918949
